Intercept,tripDistance,pickupLong,pickupLat,dropoffLong,dropoffLat
7.626173661,2.676072523,-1.544676956,-2.790947844,-3.860350726,-7.121278655
5.498087997,2.611584628,8.622299367,15.58631261,-0.101194885,-0.15712996
4.423216363,2.738166067,-6.372433281,-11.62389288,-1.900216665,-3.423053217
6.463600261,2.708295323,1.590107259,2.840025361,-4.579268173,-8.338294313
11.21199304,2.738553375,2.306821149,4.326016658,-12.08744359,-22.26864663
6.601332347,2.760992861,1.519144133,2.568919747,-5.557138179,-9.986969049
5.354099174,2.713036161,2.664935485,4.809719937,-4.582757795,-8.336012039
5.873671326,2.81033408,0.950601803,1.747430068,-1.946171213,-3.599404679
5.960269478,2.813552111,5.966321701,10.9026069,-2.222950594,-4.134659665
7.155358207,2.755715803,1.112300673,2.050879269,-2.212463328,-4.097974317
10.14832625,1.666450535,18.48198514,33.59919262,-3.372342151,-6.226086782
7.019538139,2.825861588,-0.273955543,-0.508010133,-0.600777276,-1.131486562
7.15118917,2.766349025,-1.597081526,-3.001994964,3.261602638,5.971894124
6.015011139,2.765878719,-0.97885476,-1.798705858,2.607315742,4.725261718
13.40973516,2.24E-06,15.660292,28.46709936,-11.88585847,-21.62530756
7.632151451,2.742491916,3.128492837,5.666892626,-2.546797417,-4.679826716
7.726069061,2.592893182,0.623822113,1.079396819,-4.422184851,-8.033464071
12.50324088,-9.07E-06,11.22195697,20.36345961,10.42833637,18.9287158
6.256378853,2.734127173,1.214275263,2.166334009,-1.744011794,-3.171000879
5.629971358,2.702968668,0.338182268,0.650515532,-0.012114644,-0.097309981
5.932554286,2.67897725,-2.114609599,-3.847601594,2.199597937,3.951628582
5.582783071,2.636626359,-0.849033352,-1.585068744,-1.310464008,-2.373208444
7.121014494,2.671353209,1.1999043,2.118961133,-1.121142849,-2.053469643
8.48171746,2.638426742,-7.324358315,-13.38754749,-2.467239853,-4.497126376
7.105431635,2.658063556,-0.658461096,-1.320612321,0.105071414,0.234745264
7.13385801,2.455785393,-7.691616284,-14.06431169,0.171842944,0.351576024
7.446405718,2.581779645,36.20023429,65.21667741,-2.629363718,-4.343154216
6.97519472,2.800570244,3.002291162,5.363086082,11.22204517,20.37330637
5.695561029,2.699734372,3.810021235,6.915421489,-7.082924671,-12.91054896
6.489302273,2.629936722,2.108788563,3.91656439,-5.47791163,-10.1045084
5.166087548,2.719746849,1.998558684,3.671181408,-4.542149205,-8.329670546
4.371323022,2.881558414,0.668889601,1.232659211,0.605641218,1.070724934
5.983791482,2.886373287,7.502026049,13.61092224,-3.915803687,-7.126432254
6.48724706,2.912406364,1.239548834,2.27121346,-2.248633031,-4.132421566
6.414494574,2.830864114,0.773282266,1.345776392,-6.46313558,-11.69257935
6.081023599,2.856182576,1.04665106,1.847002086,-0.829721483,-1.463610185
7.009222257,2.802069325,0.059560748,0.174588122,-0.655696364,-1.290311899
7.734976181,2.670944166,2.513668366,4.516839816,-3.415680532,-6.203377126
6.06746263,2.732493057,-1.812402994,-3.3137718,-3.514032603,-6.367155322
6.493929525,2.771127437,2.531159598,4.603259951,-5.566941648,-10.13973348
8.312416131,2.536589169,1.111517546,1.914035559,3.895701247,7.114444173
6.51463712,2.809245019,-0.998707206,-1.807628849,-0.234973647,-0.464124359
6.180696897,2.826994463,-1.741294039,-3.118690521,1.828206789,3.24520165
6.291119424,2.723466693,-0.059259714,-0.07706674,-0.011267731,-0.096331997
6.161163382,2.705349844,-2.978732551,-5.397022427,1.886697133,3.36310142
5.844067961,2.720578298,-2.831873283,-5.175204724,2.489049568,4.506492318
15.19751848,-8.56E-06,18.31017515,33.10819379,0.210266547,0.459236015
6.890005517,2.713557201,-1.23707174,-2.294351091,5.563669797,10.07074155
7.329028191,2.630700329,-2.376029172,-4.459309282,-0.723454687,-1.252273635
7.014760075,2.695524315,4.499296825,8.185828431,0.600769247,0.990361245
6.522810817,2.743663886,2.771438367,4.696418087,2.729002792,5.213980853
8.444759345,2.6337856,10.33593214,18.59687217,-3.272553947,-5.882705366
5.89137307,2.707702686,3.797051266,6.885787226,-8.071109928,-14.69959146
6.293404577,2.70903035,4.570552003,8.279611094,-8.771256029,-15.97918971
5.426713049,2.757869429,1.676170594,3.023287523,-5.117852478,-9.321948954
5.926267602,2.875317059,1.012937001,1.832610969,1.440742455,2.57300756
5.975794977,2.902627141,4.84719412,8.810754891,-4.727269106,-8.617371728
6.202502599,2.886364482,-2.693579998,-4.892529296,4.13076481,7.480757295
6.350704591,2.848035691,-2.462421657,-4.429536603,-0.980872515,-1.844021548
7.003753422,2.796227281,0.446802176,0.767447147,-3.509897499,-6.362972359
7.17271466,2.813410891,0.110634898,0.185724074,-2.366629984,-4.321416185
6.716587219,2.725974348,-0.453460373,-0.845821941,-0.121648828,-0.225830991
6.610342715,2.758097648,-1.700068337,-3.048490653,-0.280660996,-0.576058728
7.413378194,2.645449504,6.125972112,11.08215193,-6.951538894,-12.62219538
5.96332489,2.833422581,5.96870996,10.81228,-1.598842846,-2.907293254
6.279410991,2.878598766,-2.868084397,-5.217053205,-0.212550265,-0.411570494
6.016447199,2.794997873,0.056005156,0.117829332,-0.040166214,-0.118971694
5.878110132,2.726620523,-2.020562016,-3.612981433,-0.647452599,-1.265779523
5.4820973,2.710741531,0.83733521,1.567436978,-0.799569593,-1.5306345
5.934616495,2.717813089,-2.303348335,-4.227304154,0.955990443,1.736040041
5.932660492,2.732212311,-0.34539896,-0.587826263,1.561029629,2.746874108
7.351119751,2.673005809,2.08799161,3.592504657,0.073646609,0.250620487
8.557230537,2.717805875,1.32081645,2.20178407,0.97354537,1.846367045
5.959716984,2.715981364,-0.852817007,-1.750130662,1.578380938,3.008274829
5.642782665,2.743521284,5.51470578,9.913356248,-0.235112919,-0.379412056
10.97150396,2.625719632,-3.260553135,-5.939872817,-3.822133755,-7.096504163
9.306011649,2.713641785,12.16629168,21.96194059,-7.539892891,-13.7009819
5.596605223,2.6789507,2.440730965,4.476414202,-9.599930413,-17.52671242
5.905204262,2.690873734,-5.879688448,-10.66122354,-0.308587688,-0.63143156
4.162160808,2.848492519,1.839037702,3.328671991,-1.438122348,-2.60449509
5.745898794,2.887952372,5.305362956,9.543980286,-4.88054419,-8.793180435
10.41691165,1.225030284,13.41540353,24.28510953,-6.362743405,-11.51833715
12.36376329,5.33E-07,30.08918259,54.58341112,-18.82255374,-34.13647832
